      pressure observation  flag
643            1007.159973  b'Z'
644            1007.130005  b'Z'
645            1007.099976  b'Z'
646            1007.140015  b'Z'
647            1007.140015  b'Z'
648            1007.179993  b'Z'
649            1007.200012  b'Z'
650            1007.200012  b'Z'
651            1007.219971  b'Z'
652            1007.200012  b'Z'
653            1007.210022  b'Z'
654            1007.210022  b'Z'
655            1007.169983  b'Z'
656            1007.169983  b'Z'
657            1007.130005  b'Z'
658            1007.119995  b'Z'
659            1007.070007  b'Z'
660            1007.049988  b'Z'
661            1007.059998  b'Z'
662            1007.090027  b'Z'
663            1006.890015  b'Z'
664            1007.090027  b'Z'
665            1007.010010  b'Z'
666            1006.969971  b'Z'
667            1006.909973  b'Z'
668            1006.909973  b'Z'
669            1006.940002  b'Z'
670            1006.919983  b'Z'
671            1006.929993  b'Z'
672            1006.979980  b'Z'
673            1006.969971  b'Z'
674            1007.059998  b'Z'
675            1007.130005  b'Z'
676            1007.119995  b'Z'
677            1007.169983  b'Z'
678            1007.229980  b'Z'
679            1007.210022  b'Z'
680            1007.229980  b'Z'
681            1007.289978  b'Z'
682            1007.299988  b'Z'
683            1007.309998  b'Z'
684            1007.359985  b'Z'
685            1007.390015  b'Z'
686            1007.359985  b'Z'
687            1007.369995  b'Z'
688            1007.409973  b'Z'
689            1007.320007  b'Z'
690            1007.429993  b'Z'
691            1007.450012  b'Z'
692            1007.489990  b'Z'
693            1007.510010  b'Z'
694            1007.539978  b'Z'
695            1007.479980  b'Z'
696            1007.390015  b'Z'
697            1007.349976  b'Z'
698            1007.349976  b'Z'
699            1007.320007  b'Z'
700            1007.330017  b'Z'
701            1007.400024  b'Z'
702            1007.440002  b'Z'
703            1007.460022  b'Z'
704            1007.450012  b'Z'
705            1007.489990  b'Z'
706            1007.479980  b'Z'
707            1007.510010  b'Z'
708            1007.489990  b'Z'
709            1007.530029  b'Z'
710            1007.549988  b'Z'
711            1007.559998  b'Z'
712            1007.580017  b'Z'
713            1007.559998  b'Z'
714            1007.450012  b'Z'
715            1007.369995  b'Z'
716            1007.320007  b'Z'
717            1007.210022  b'Z'
718            1007.150024  b'Z'
719            1007.039978  b'Z'
720            1006.989990  b'Z'
721            1006.960022  b'Z'
722            1006.809998  b'Z'
723            1006.919983  b'Z'
724            1007.010010  b'Z'
725            1007.010010  b'Z'
726            1007.080017  b'Z'
727            1007.109985  b'Z'
728            1007.200012  b'Z'
729            1007.260010  b'Z'
730            1007.330017  b'Z'
731            1007.330017  b'Z'
732            1007.330017  b'Z'
733            1007.270020  b'Z'
734            1007.299988  b'Z'
735            1007.289978  b'Z'
736            1007.440002  b'Z'
737            1007.500000  b'Z'
738            1007.510010  b'Z'
739            1007.559998  b'Z'
740            1007.539978  b'Z'
741            1007.590027  b'Z'
742            1007.580017  b'Z'
743            1007.619995  b'Z'
744            1007.679993  b'Z'
745            1007.679993  b'Z'
746            1007.789978  b'Z'
747            1007.840027  b'Z'
748            1007.820007  b'Z'
749            1007.880005  b'Z'
750            1007.820007  b'Z'
751            1007.799988  b'Z'
752            1007.880005  b'Z'
753            1007.849976  b'Z'
754            1007.849976  b'Z'
755            1007.859985  b'Z'
756            1007.849976  b'Z'
757            1007.830017  b'Z'
758            1007.770020  b'Z'
759            1007.840027  b'Z'
760            1007.849976  b'Z'
761            1007.859985  b'Z'
762            1007.809998  b'Z'
763            1007.820007  b'Z'
764            1007.789978  b'Z'
765            1007.849976  b'Z'
766            1007.869995  b'Z'
767            1007.859985  b'Z'
768            1007.780029  b'Z'
769            1007.820007  b'Z'
770            1007.840027  b'Z'
771            1007.830017  b'Z'
772            1007.719971  b'Z'
773            1007.729980  b'Z'
774            1007.729980  b'Z'
775            1007.700012  b'Z'
776            1007.669983  b'Z'
777            1007.650024  b'Z'
778            1007.679993  b'Z'
779            1007.690002  b'Z'
780            1007.700012  b'Z'
781            1007.700012  b'Z'
782            1007.729980  b'Z'
783            1007.770020  b'Z'
784            1007.789978  b'Z'
785            1007.770020  b'Z'
786            1007.710022  b'Z'
787            1007.750000  b'Z'
788            1007.750000  b'Z'
789            1007.750000  b'Z'
790            1007.789978  b'Z'
791            1008.030029  b'Z'
792            1008.090027  b'Z'
793            1008.030029  b'Z'
794            1008.049988  b'Z'
795            1008.109985  b'Z'
796            1008.169983  b'Z'
797            1008.239990  b'Z'
798            1008.270020  b'Z'
799            1008.270020  b'Z'
800            1008.219971  b'Z'
801            1008.169983  b'Z'
802            1008.080017  b'Z'
803            1008.010010  b'Z'
804            1008.020020  b'Z'
805            1008.049988  b'Z'
806            1008.099976  b'Z'
807            1008.140015  b'Z'
808            1008.299988  b'Z'
809            1008.250000  b'Z'
810            1008.280029  b'Z'
811            1008.260010  b'Z'
812            1008.289978  b'Z'
813            1008.289978  b'Z'
814            1008.250000  b'Z'
815            1008.330017  b'Z'
816            1008.409973  b'Z'
817            1008.520020  b'Z'
818            1008.599976  b'Z'
819            1008.700012  b'Z'
820            1008.669983  b'Z'
821            1008.659973  b'Z'
822            1008.690002  b'Z'
823            1008.789978  b'Z'
824            1008.789978  b'Z'
825            1008.809998  b'Z'
826            1008.929993  b'Z'
827            1008.989990  b'Z'
828            1008.989990  b'Z'
829            1009.000000  b'Z'
830            1009.000000  b'Z'
831            1009.030029  b'Z'
832            1009.010010  b'Z'
833            1009.039978  b'Z'
834            1009.090027  b'Z'
835            1009.130005  b'Z'
836            1009.210022  b'Z'
837            1009.229980  b'Z'
838            1009.210022  b'Z'
839            1009.260010  b'Z'
840            1009.289978  b'Z'
841            1009.150024  b'Z'
842            1009.090027  b'Z'
843            1009.250000  b'Z'
844            1009.140015  b'Z'
845            1009.080017  b'Z'
846            1009.080017  b'Z'
847            1009.169983  b'Z'
848            1009.239990  b'Z'
849            1009.229980  b'Z'
850            1009.349976  b'Z'
851            1009.390015  b'Z'
852            1009.450012  b'Z'
853            1009.549988  b'Z'
854            1009.539978  b'Z'
855            1009.669983  b'Z'
856            1009.820007  b'Z'
857            1010.130005  b'Z'
858            1010.239990  b'Z'
859            1010.270020  b'Z'
860            1010.159973  b'Z'
861            1010.119995  b'Z'
862            1010.059998  b'Z'
863            1010.020020  b'Z'
864            1010.119995  b'Z'
865            1010.179993  b'Z'
866            1010.130005  b'Z'
867            1009.919983  b'Z'
868            1009.729980  b'Z'
869            1009.659973  b'Z'
870            1009.580017  b'Z'
871            1009.679993  b'Z'
872            1009.770020  b'Z'
873            1009.700012  b'Z'
874            1009.590027  b'Z'
875            1009.539978  b'Z'
876            1009.479980  b'Z'
877            1009.559998  b'Z'
878            1009.700012  b'Z'
879            1009.809998  b'Z'
880            1009.909973  b'Z'
881            1009.859985  b'Z'
882            1009.799988  b'Z'
883            1009.739990  b'Z'
884            1009.690002  b'Z'
885            1009.650024  b'Z'
886            1009.520020  b'Z'
887            1009.409973  b'Z'
